,sensitivity,specificity,f1,auc_roc
densenet121,0.9910714285714286,0.98421372191864,0.940677966101695,0.9986772486772487
hybrid,0.9910714285714286,0.9811778992106861,0.9308176100628931,0.9980456891317547
